etath,etaiso,triang,coreradius,bt,bscfmax,rmajor,coe,capcost
0.39475,0.85183,0.58034,0.75213,3.639,0.92833,6.0794,626.44,16867.0
0.39481,0.81607,0.53571,0.75855,3.6088,0.9529,6.1177,634.51,17121.0
0.39492,0.75726,0.53505,0.74403,3.9237,0.94926,5.5383,509.94,13603.0
0.39506,0.93732,0.4391,0.71731,3.7851,0.9083,5.9458,595.9,16009.0
0.39511,0.8936,0.50074,0.7641,3.8303,0.88601,5.7778,558.77,14969.0
0.39527,0.89785,0.53996,0.71585,3.7251,0.94615,5.9104,587.23,15782.0
0.39538,0.93742,0.448,0.72538,4.012,0.95423,5.404,484.06,12891.0
0.39543,0.83425,0.45228,0.79227,3.7346,0.89204,6.004,608.84,16378.0
0.39559,0.86956,0.49624,0.77237,4.0196,0.96267,5.3541,474.98,12633.0
0.39576,0.72303,0.55871,0.74493,4.0407,0.93757,5.3242,470.1,12482.0
0.39579,0.7019,0.53387,0.7664,3.9202,0.89419,5.4815,498.51,13295.0
0.39588,0.67179,0.51056,0.79297,3.8352,0.90905,5.7724,557.71,14936.0
0.3959,0.6595,0.47771,0.70972,3.8163,0.88766,5.7215,545.74,14635.0
0.39592,0.68747,0.53082,0.77502,3.9932,0.92792,5.252,455.86,12120.0
0.39595,0.74625,0.5663,0.72844,3.9537,0.98879,5.4722,497.38,13246.0
0.396,0.66841,0.4269,0.7984,3.9224,0.97679,5.6724,536.83,14356.0
0.39602,0.70551,0.45386,0.71883,3.6698,0.95288,6.0797,625.71,16869.0
0.39607,0.8555,0.40357,0.79504,3.6599,0.96587,6.2027,655.88,17701.0
0.39613,0.76367,0.59738,0.77753,3.8152,0.93881,5.6771,537.57,14375.0
0.39643,0.87089,0.50865,0.76946,3.9941,0.9358,5.2918,463.09,12317.0
0.39646,0.69633,0.52137,0.70538,3.73,0.93778,5.9413,594.2,15967.0
0.39655,0.83704,0.45187,0.73485,3.9501,0.95245,5.5404,510.07,13615.0
0.39662,0.69154,0.56713,0.76595,3.7884,0.93369,5.7165,545.28,14602.0
0.39669,0.82738,0.40122,0.79773,3.9991,0.9063,5.3069,465.28,12393.0
0.39669,0.8518,0.41487,0.75197,3.9526,0.92194,5.4037,482.8,12886.0
0.39673,0.75926,0.47137,0.77685,3.6857,0.93169,6.0907,629.0,16943.0
0.39699,0.8603,0.59816,0.79876,3.8762,0.94509,5.5723,516.63,13786.0
0.39715,0.67921,0.59705,0.76533,4.006,0.95536,5.3006,465.52,12360.0
0.39718,0.91451,0.52291,0.75251,3.7906,0.9775,5.6857,538.09,14424.0
0.3973,0.6521,0.46048,0.7548,3.8852,0.91331,5.5864,518.54,13866.0
0.39731,0.74724,0.48302,0.7522,3.898,0.9612,5.5038,502.09,13413.0
0.39733,0.76189,0.59655,0.7661,3.8753,0.95633,5.5069,503.38,13428.0
0.39733,0.69268,0.56154,0.77162,3.9791,0.96486,5.2674,458.65,12194.0
0.39748,0.67761,0.46329,0.73792,3.9109,0.97476,5.4827,497.86,13300.0
0.39753,0.72699,0.5098,0.78764,3.8494,0.93002,5.7356,549.84,14717.0
