,capcost,fdene,boundu(10),fimp(14),pseprmax,boundl(103),cboot,feffcd,etaiso,pinjalw,sig_tf_case_max,aspect,boundu(2),outlet_temp,beta,etanbi,etahtp
783,9786.1,0.94921875,1.57078125,8.27734375e-05,21.26953125,0.8722656249999999,1.351640625,1.0515625,0.77734375,47.1484375,736093750.0,1.83203125,3.59765625,967.609375,0.068125,0.3671875,0.9367187499999999
784,9815.7,0.94921875,1.57078125,8.27734375e-05,21.26953125,0.8722656249999999,1.351640625,1.0515625,0.77734375,48.3984375,731406250.0,1.83203125,3.59765625,967.609375,0.068125,0.3671875,0.9367187499999999
785,10375.0,0.94921875,1.57078125,8.27734375e-05,21.26953125,0.8722656249999999,1.351640625,1.0515625,0.77734375,48.3984375,736093750.0,1.88359375,3.59765625,967.609375,0.068125,0.3671875,0.9367187499999999
786,7491.6,0.94921875,1.57078125,8.27734375e-05,21.26953125,0.8722656249999999,1.351640625,1.0515625,0.77734375,48.3984375,736093750.0,1.83203125,4.01171875,967.609375,0.068125,0.3671875,0.9367187499999999
787,9225.4,0.94921875,1.57078125,8.27734375e-05,21.26953125,0.8722656249999999,1.351640625,1.0515625,0.77734375,48.3984375,736093750.0,1.83203125,3.59765625,1042.609375,0.068125,0.3671875,0.9367187499999999
788,6271.7,0.94921875,1.57078125,8.27734375e-05,21.26953125,0.8722656249999999,1.351640625,1.0515625,0.77734375,48.3984375,736093750.0,1.83203125,3.59765625,967.609375,0.098125,0.3671875,0.9367187499999999
789,9171.9,0.94921875,1.57078125,8.27734375e-05,21.26953125,0.8722656249999999,1.351640625,1.0515625,0.77734375,48.3984375,736093750.0,1.83203125,3.59765625,967.609375,0.068125,0.5828125,0.9367187499999999
790,9818.8,0.94921875,1.57078125,8.27734375e-05,21.26953125,0.8722656249999999,1.351640625,1.0515625,0.77734375,48.3984375,736093750.0,1.83203125,3.59765625,967.609375,0.068125,0.3671875,0.8726562499999999
791,5232.4,0.88515625,1.52546875,8.06640625e-05,35.13671875,0.998828125,1.349296875,0.9984375,0.77109375,47.1484375,731406250.0,1.88359375,4.01171875,1042.609375,0.098125,0.5828125,0.8726562499999999
792,8288.4,0.92421875,1.49578125,7.15234375e-05,24.39453125,0.9097656249999999,1.339140625,0.8015625000000001,0.85234375,54.6484375,661093750.0,1.90703125,3.72265625,855.109375,0.08812500000000001,0.3171875,0.9117187499999999
794,8288.4,0.92421875,1.5504687499999998,7.15234375e-05,24.39453125,0.9097656249999999,1.339140625,0.8015625000000001,0.85234375,54.6484375,661093750.0,1.90703125,3.72265625,855.109375,0.08812500000000001,0.3171875,0.9117187499999999
796,8214.7,0.92421875,1.49578125,7.15234375e-05,32.01171875,0.9097656249999999,1.339140625,0.8015625000000001,0.85234375,54.6484375,661093750.0,1.90703125,3.72265625,855.109375,0.08812500000000001,0.3171875,0.9117187499999999
797,8288.4,0.92421875,1.49578125,7.15234375e-05,24.39453125,1.0363281249999998,1.339140625,0.8015625000000001,0.85234375,54.6484375,661093750.0,1.90703125,3.72265625,855.109375,0.08812500000000001,0.3171875,0.9117187499999999
798,8293.7,0.92421875,1.49578125,7.15234375e-05,24.39453125,0.9097656249999999,1.336796875,0.8015625000000001,0.85234375,54.6484375,661093750.0,1.90703125,3.72265625,855.109375,0.08812500000000001,0.3171875,0.9117187499999999
799,7993.3,0.92421875,1.49578125,7.15234375e-05,24.39453125,0.9097656249999999,1.339140625,1.1484375,0.85234375,54.6484375,661093750.0,1.90703125,3.72265625,855.109375,0.08812500000000001,0.3171875,0.9117187499999999
800,8288.6,0.92421875,1.49578125,7.15234375e-05,24.39453125,0.9097656249999999,1.339140625,0.8015625000000001,0.79609375,54.6484375,661093750.0,1.90703125,3.72265625,855.109375,0.08812500000000001,0.3171875,0.9117187499999999
802,8288.4,0.92421875,1.49578125,7.15234375e-05,24.39453125,0.9097656249999999,1.339140625,0.8015625000000001,0.85234375,54.6484375,686406250.0,1.90703125,3.72265625,855.109375,0.08812500000000001,0.3171875,0.9117187499999999
803,8678.3,0.92421875,1.49578125,7.15234375e-05,24.39453125,0.9097656249999999,1.339140625,0.8015625000000001,0.85234375,54.6484375,661093750.0,1.95859375,3.72265625,855.109375,0.08812500000000001,0.3171875,0.9117187499999999
805,8288.4,0.92421875,1.49578125,7.15234375e-05,24.39453125,0.9097656249999999,1.339140625,0.8015625000000001,0.85234375,54.6484375,661093750.0,1.90703125,3.72265625,855.109375,0.08812500000000001,0.3171875,0.9117187499999999
806,9827.2,0.92421875,1.49578125,7.15234375e-05,24.39453125,0.9097656249999999,1.339140625,0.8015625000000001,0.85234375,54.6484375,661093750.0,1.90703125,3.72265625,855.109375,0.078125,0.3171875,0.9117187499999999
807,8202.8,0.92421875,1.49578125,7.15234375e-05,24.39453125,0.9097656249999999,1.339140625,0.8015625000000001,0.85234375,54.6484375,661093750.0,1.90703125,3.72265625,855.109375,0.08812500000000001,0.3328125,0.9117187499999999
808,8291.6,0.92421875,1.49578125,7.15234375e-05,24.39453125,0.9097656249999999,1.339140625,0.8015625000000001,0.85234375,54.6484375,661093750.0,1.90703125,3.72265625,855.109375,0.08812500000000001,0.3171875,0.84765625
809,8900.6,0.86015625,1.5504687499999998,4.69140625e-05,32.01171875,1.0363281249999998,1.336796875,1.1484375,0.79609375,45.8984375,686406250.0,1.95859375,3.88671875,855.109375,0.078125,0.3328125,0.84765625
810,5159.3,1.02421875,1.59578125,2.6523437500000003e-05,36.89453125,1.0597656249999998,1.389140625,1.0015625,0.75234375,49.6484375,721093750.0,1.80703125,4.22265625,1005.109375,0.168125,0.5171874999999999,0.81171875
811,5162.8,0.96015625,1.59578125,2.6523437500000003e-05,36.89453125,1.0597656249999998,1.389140625,1.0015625,0.75234375,49.6484375,721093750.0,1.80703125,4.22265625,1005.109375,0.168125,0.5171874999999999,0.81171875
812,5159.3,1.02421875,1.65046875,2.6523437500000003e-05,36.89453125,1.0597656249999998,1.389140625,1.0015625,0.75234375,49.6484375,721093750.0,1.80703125,4.22265625,1005.109375,0.168125,0.5171874999999999,0.81171875
813,5158.1,1.02421875,1.59578125,9.191406250000001e-05,36.89453125,1.0597656249999998,1.389140625,1.0015625,0.75234375,49.6484375,721093750.0,1.80703125,4.22265625,1005.109375,0.168125,0.5171874999999999,0.81171875
814,5158.8,1.02421875,1.59578125,2.6523437500000003e-05,44.51171875,1.0597656249999998,1.389140625,1.0015625,0.75234375,49.6484375,721093750.0,1.80703125,4.22265625,1005.109375,0.168125,0.5171874999999999,0.81171875
